,negative,neutral,positive,year
0,0.07173601147776183,0.900286944045911,0.027977044476327116,2007
1,0.08984375,0.86328125,0.046875,2008
2,0.09913793103448276,0.8448275862068966,0.05603448275862069,2009
3,0.10247349823321555,0.8621908127208481,0.0353356890459364,2010
4,0.06927710843373494,0.8855421686746988,0.045180722891566265,2011
5,0.058823529411764705,0.9134948096885813,0.02768166089965398,2012
6,0.08527131782945736,0.8875968992248062,0.027131782945736434,2013
7,0.06229508196721312,0.9180327868852459,0.019672131147540985,2014
8,0.05088852988691438,0.9192245557350566,0.02988691437802908,2015
9,0.050793650793650794,0.8984126984126984,0.050793650793650794,2016
